Source_File,Split,Onset_Window,Attack_Type,Attack_Types,Attack_Ratio
Friday-02-03-2018,TEST,2018-03-02 10:13:00,Bot,Bot,0.0068493150684931
Friday-23-02-2018,TRAIN,2018-02-23 01:05:30,Brute Force -XSS,Brute Force -XSS,0.0020242914979757
Friday-23-02-2018,TRAIN,2018-02-23 01:06:30,Brute Force -XSS,Brute Force -XSS,0.0034662045060658
Friday-23-02-2018,TRAIN,2018-02-23 01:07:30,Brute Force -XSS,Brute Force -XSS,0.0014074595355383
Friday-23-02-2018,TRAIN,2018-02-23 01:08:30,Brute Force -XSS,Brute Force -XSS,0.0013131976362442
Friday-23-02-2018,TRAIN,2018-02-23 01:09:30,Brute Force -XSS,Brute Force -XSS,0.0035398230088495
Friday-23-02-2018,TRAIN,2018-02-23 01:10:30,Brute Force -XSS,Brute Force -XSS,0.0028943560057887
Friday-23-02-2018,TRAIN,2018-02-23 01:11:30,Brute Force -XSS,Brute Force -XSS,0.0044843049327354
Friday-23-02-2018,TRAIN,2018-02-23 01:14:00,Brute Force -XSS,Brute Force -XSS,0.0047961630695443
Friday-23-02-2018,TRAIN,2018-02-23 01:15:00,Brute Force -XSS,Brute Force -XSS,0.0016638935108153
Friday-23-02-2018,TRAIN,2018-02-23 01:16:00,Brute Force -XSS,Brute Force -XSS,0.0023201856148491
Friday-23-02-2018,TRAIN,2018-02-23 01:17:00,Brute Force -XSS,Brute Force -XSS,0.0029895366218236
Friday-23-02-2018,TRAIN,2018-02-23 01:18:00,Brute Force -XSS,Brute Force -XSS,0.00390625
Friday-23-02-2018,TRAIN,2018-02-23 01:19:00,Brute Force -XSS,Brute Force -XSS,0.0020449897750511
Friday-23-02-2018,TRAIN,2018-02-23 01:20:00,Brute Force -XSS,Brute Force -XSS,0.002008032128514
Friday-23-02-2018,TRAIN,2018-02-23 01:21:00,Brute Force -XSS,Brute Force -XSS,0.0017905102954341
Friday-23-02-2018,TRAIN,2018-02-23 01:22:00,Brute Force -XSS,Brute Force -XSS,0.0017050298380221
Friday-23-02-2018,TRAIN,2018-02-23 01:23:00,Brute Force -XSS,Brute Force -XSS,0.0022346368715083
Friday-23-02-2018,TRAIN,2018-02-23 01:24:30,Brute Force -XSS,Brute Force -XSS,0.003683241252302
