Source_File,Split,Episode_ID,Start,End,Duration_Windows,Duration_Seconds
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,1,2018-03-02 01:05:00,2018-03-02 03:54:30,340,10200
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2,2018-03-02 10:13:00,2018-03-02 12:59:30,334,10020
Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,2018-02-16 10:16:30,2018-02-16 10:58:00,84,2520
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,1,2018-02-23 01:05:30,2018-02-23 01:05:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2,2018-02-23 01:06:30,2018-02-23 01:06:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,3,2018-02-23 01:07:30,2018-02-23 01:07:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,4,2018-02-23 01:08:30,2018-02-23 01:08:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,5,2018-02-23 01:09:30,2018-02-23 01:09:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,6,2018-02-23 01:10:30,2018-02-23 01:10:30,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,7,2018-02-23 01:11:30,2018-02-23 01:13:00,4,120
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,8,2018-02-23 01:14:00,2018-02-23 01:14:00,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,9,2018-02-23 01:15:00,2018-02-23 01:15:00,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,10,2018-02-23 01:16:00,2018-02-23 01:16:00,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,11,2018-02-23 01:17:00,2018-02-23 01:17:00,1,30
Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,12,2018-02-23 01:18:00,2018-02-23 01:18:00,1,30
