Source_File,Target_Window,Split,Target_Attack,Target_Attack_Ratio,Prev_Target,Transition,Valid_30s_Transition,Future_Attack_t+1,Future_Ratio_t+1,Future_Attack_t+2,Future_Ratio_t+2,Future_Attack_t+3,Future_Ratio_t+3,Future_Attack_t+4,Future_Ratio_t+4,Future_Attack_t+5,Future_Ratio_t+5
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:05:00,TEST,1,0.364625850340136,,START/GAP,False,1,0.364625850340136,1.0,0.4334415584415584,1.0,0.3794076163610719,1.0,0.1986754966887417,1.0,0.4334975369458128
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:05:30,TEST,1,0.4334415584415584,1.0,1->1,True,1,0.4334415584415584,1.0,0.3794076163610719,1.0,0.1986754966887417,1.0,0.4334975369458128,1.0,0.3018018018018018
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:06:00,TEST,1,0.3794076163610719,1.0,1->1,True,1,0.3794076163610719,1.0,0.1986754966887417,1.0,0.4334975369458128,1.0,0.3018018018018018,1.0,0.2565091610414657
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:06:30,TEST,1,0.1986754966887417,1.0,1->1,True,1,0.1986754966887417,1.0,0.4334975369458128,1.0,0.3018018018018018,1.0,0.2565091610414657,1.0,0.274390243902439
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:07:00,TEST,1,0.4334975369458128,1.0,1->1,True,1,0.4334975369458128,1.0,0.3018018018018018,1.0,0.2565091610414657,1.0,0.274390243902439,1.0,0.4347826086956521
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:07:30,TEST,1,0.3018018018018018,1.0,1->1,True,1,0.3018018018018018,1.0,0.2565091610414657,1.0,0.274390243902439,1.0,0.4347826086956521,1.0,0.3735955056179775
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:08:00,TEST,1,0.2565091610414657,1.0,1->1,True,1,0.2565091610414657,1.0,0.274390243902439,1.0,0.4347826086956521,1.0,0.3735955056179775,1.0,0.3149236192714453
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:08:30,TEST,1,0.274390243902439,1.0,1->1,True,1,0.274390243902439,1.0,0.4347826086956521,1.0,0.3735955056179775,1.0,0.3149236192714453,1.0,0.4175824175824176
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:09:00,TEST,1,0.4347826086956521,1.0,1->1,True,1,0.4347826086956521,1.0,0.3735955056179775,1.0,0.3149236192714453,1.0,0.4175824175824176,1.0,0.3414634146341463
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:09:30,TEST,1,0.3735955056179775,1.0,1->1,True,1,0.3735955056179775,1.0,0.3149236192714453,1.0,0.4175824175824176,1.0,0.3414634146341463,1.0,0.4455445544554455
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:10:00,TEST,1,0.3149236192714453,1.0,1->1,True,1,0.3149236192714453,1.0,0.4175824175824176,1.0,0.3414634146341463,1.0,0.4455445544554455,1.0,0.29004329004329
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:10:30,TEST,1,0.4175824175824176,1.0,1->1,True,1,0.4175824175824176,1.0,0.3414634146341463,1.0,0.4455445544554455,1.0,0.29004329004329,1.0,0.366120218579235
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:11:00,TEST,1,0.3414634146341463,1.0,1->1,True,1,0.3414634146341463,1.0,0.4455445544554455,1.0,0.29004329004329,1.0,0.366120218579235,1.0,0.4166666666666667
Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,2018-03-02 01:11:30,TEST,1,0.4455445544554455,1.0,1->1,True,1,0.4455445544554455,1.0,0.29004329004329,1.0,0.366120218579235,1.0,0.4166666666666667,1.0,0.46286701208981
