Episode_ID,Source_File,Split,Start,End,Duration_Seconds,Windows,Mean_Attack_Ratio,Max_Attack_Ratio
1,Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-02 01:05:00,2018-03-02 03:54:30,10200.0,340,0.361267952341811,0.7749307479224377
2,Friday-02-03-2018_TrafficForML_CICFlowMeter_30s_state.csv,TEST,2018-03-02 10:13:00,2018-03-02 12:59:30,10020.0,334,0.34648358859154077,0.832102081934184
3,Friday-16-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-16 10:16:30,2018-02-16 10:58:00,2520.0,84,0.9994932018393257,1.0
4,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:05:30,2018-02-23 01:05:30,30.0,1,0.0020242914979757,0.0020242914979757
5,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:06:30,2018-02-23 01:06:30,30.0,1,0.0034662045060658,0.0034662045060658
6,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:07:30,2018-02-23 01:07:30,30.0,1,0.0014074595355383,0.0014074595355383
7,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:08:30,2018-02-23 01:08:30,30.0,1,0.0013131976362442,0.0013131976362442
8,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:09:30,2018-02-23 01:09:30,30.0,1,0.0035398230088495,0.0035398230088495
9,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:10:30,2018-02-23 01:10:30,30.0,1,0.0028943560057887,0.0028943560057887
10,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:11:30,2018-02-23 01:13:00,120.0,4,0.002590703208357325,0.0044843049327354
11,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:14:00,2018-02-23 01:14:00,30.0,1,0.0047961630695443,0.0047961630695443
12,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:15:00,2018-02-23 01:15:00,30.0,1,0.0016638935108153,0.0016638935108153
13,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:16:00,2018-02-23 01:16:00,30.0,1,0.0023201856148491,0.0023201856148491
14,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:17:00,2018-02-23 01:17:00,30.0,1,0.0029895366218236,0.0029895366218236
15,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:18:00,2018-02-23 01:18:00,30.0,1,0.00390625,0.00390625
16,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:19:00,2018-02-23 01:19:00,30.0,1,0.0020449897750511,0.0020449897750511
17,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:20:00,2018-02-23 01:20:00,30.0,1,0.002008032128514,0.002008032128514
18,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:21:00,2018-02-23 01:21:00,30.0,1,0.0017905102954341,0.0017905102954341
19,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:22:00,2018-02-23 01:22:00,30.0,1,0.0017050298380221,0.0017050298380221
20,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:23:00,2018-02-23 01:23:30,60.0,2,0.00261881993725565,0.003003003003003
21,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:24:30,2018-02-23 01:24:30,30.0,1,0.003683241252302,0.003683241252302
22,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:25:30,2018-02-23 01:25:30,30.0,1,0.0040899795501022,0.0040899795501022
23,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:26:30,2018-02-23 01:26:30,30.0,1,0.0013661202185792,0.0013661202185792
24,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:27:30,2018-02-23 01:27:30,30.0,1,0.0053333333333333,0.0053333333333333
25,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:28:30,2018-02-23 01:28:30,30.0,1,0.0028288543140028,0.0028288543140028
26,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:29:30,2018-02-23 01:29:30,30.0,1,0.0025,0.0025
27,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:30:30,2018-02-23 01:30:30,30.0,1,0.002092050209205,0.002092050209205
28,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:31:30,2018-02-23 01:31:30,30.0,1,0.003976143141153,0.003976143141153
29,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:32:30,2018-02-23 01:32:30,30.0,1,0.0022909507445589,0.0022909507445589
30,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:33:30,2018-02-23 01:33:30,30.0,1,0.0039682539682539,0.0039682539682539
31,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:34:30,2018-02-23 01:34:30,30.0,1,0.0022522522522522,0.0022522522522522
32,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:35:30,2018-02-23 01:36:00,60.0,2,0.00188404354725445,0.002770083102493
33,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:37:00,2018-02-23 01:37:00,30.0,1,0.0028818443804034,0.0028818443804034
34,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:38:00,2018-02-23 01:38:00,30.0,1,0.0020304568527918,0.0020304568527918
35,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:39:00,2018-02-23 01:39:00,30.0,1,0.0031645569620253,0.0031645569620253
36,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:40:00,2018-02-23 01:40:00,30.0,1,0.0022497187851518,0.0022497187851518
37,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:41:00,2018-02-23 01:42:00,90.0,3,0.0015041637733812666,0.0025125628140703
38,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:43:00,2018-02-23 01:43:00,30.0,1,0.0025839793281653,0.0025839793281653
39,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:44:00,2018-02-23 01:44:00,30.0,1,0.0031397174254317,0.0031397174254317
40,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:45:00,2018-02-23 01:45:00,30.0,1,0.0034965034965034,0.0034965034965034
41,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:46:00,2018-02-23 01:46:00,30.0,1,0.0015515903801396,0.0015515903801396
42,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:47:00,2018-02-23 01:47:30,60.0,2,0.0027902621722846,0.0033333333333333
43,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:48:30,2018-02-23 01:48:30,30.0,1,0.0027586206896551,0.0027586206896551
44,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:49:30,2018-02-23 01:49:30,30.0,1,0.005050505050505,0.005050505050505
45,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:50:30,2018-02-23 01:50:30,30.0,1,0.0033333333333333,0.0033333333333333
46,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:51:30,2018-02-23 01:51:30,30.0,1,0.0017391304347826,0.0017391304347826
47,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:52:30,2018-02-23 01:52:30,30.0,1,0.0017793594306049,0.0017793594306049
48,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:53:30,2018-02-23 01:53:30,30.0,1,0.0020942408376963,0.0020942408376963
49,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:54:30,2018-02-23 01:54:30,30.0,1,0.0033057851239669,0.0033057851239669
50,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:55:30,2018-02-23 01:55:30,30.0,1,0.0016220600162206,0.0016220600162206
51,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:56:30,2018-02-23 01:56:30,30.0,1,0.0062305295950155,0.0062305295950155
52,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:57:30,2018-02-23 01:57:30,30.0,1,0.0024813895781637,0.0024813895781637
53,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 01:58:30,2018-02-23 01:59:00,60.0,2,0.0049423691992034,0.0054794520547945
54,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 02:00:00,2018-02-23 02:00:00,30.0,1,0.0034305317324185,0.0034305317324185
55,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 02:01:00,2018-02-23 02:01:00,30.0,1,0.0038535645472061,0.0038535645472061
56,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 02:02:00,2018-02-23 02:02:00,30.0,1,0.0045146726862302,0.0045146726862302
57,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 02:03:00,2018-02-23 02:03:00,30.0,1,0.0052770448548812,0.0052770448548812
58,Friday-23-02-2018_TrafficForML_CICFlowMeter_30s_state.csv,TRAIN,2018-02-23 02:04:00,2018-02-23 02:04:00,30.0,1,0.0060240963855421,0.0060240963855421
